ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding
-0.71775365,-1.0956175,0.18840535,1.6735655,2.012079,-0.26899707,-0.87274307,-0.25639215,-2.4791846,-1.8099742,-2.0116277,-1.9737902
-0.7161868,-1.0956081,0.18964286,1.6702322,2.0154881,-0.26784152,-0.8754622,-0.25690603,-2.4777687,-1.8105094,-2.0087218,-1.9732332
-0.7101051,-1.0956013,0.18967363,1.6692971,2.0179384,-0.2676504,-0.8774112,-0.25689152,-2.4740646,-1.8106163,-2.005864,-1.9728341
-0.70501614,-1.0955964,0.18876334,1.6708361,2.0196881,-0.26702723,-0.8774635,-0.2566056,-2.4699037,-1.8094355,-2.0029297,-1.9725481
-0.70039487,-1.095593,0.18878022,1.6722667,2.0209446,-0.2690406,-0.8769501,-0.2565429,-2.47148,-1.8077824,-2.0006354,-1.9723432
-0.6968597,-1.0955906,0.1897826,1.6725128,2.0218446,-0.26934198,-0.87748986,-0.25683716,-2.4698436,-1.8073999,-1.998408,-1.9721963
-0.6958078,-1.0955243,0.18874152,1.6708579,2.022489,-0.26838166,-0.8774819,-0.25685963,-2.4633884,-1.8071098,-1.9961268,-1.9698604
-0.7068239,-1.095505,0.18844128,1.6696936,2.0229523,-0.2683439,-0.8781091,-0.25667456,-2.4601743,-1.8061228,-1.9935927,-1.9691596
-0.71834284,-1.0955274,0.18786596,1.6714712,2.023283,-0.26741984,-0.87708527,-0.25631124,-2.4576173,-1.8041892,-1.9913725,-1.9691638
-0.72513217,-1.0955435,0.1892481,1.6725496,2.023514,-0.26836276,-0.8766453,-0.25687784,-2.455718,-1.8024138,-1.9897815,-1.9694946
-0.7235041,-1.0955336,0.18766734,1.6734626,2.0236883,-0.26840144,-0.8757478,-0.25626028,-2.453573,-1.8013608,-1.9886416,-1.9671495
-0.7228978,-1.0955144,0.18957523,1.6724972,2.0238168,-0.2688847,-0.87607396,-0.25659695,-2.4521365,-1.800863,-1.9878248,-1.9555322
-0.72354424,-1.0954145,0.19108059,1.6688644,2.0238962,-0.26838785,-0.8771809,-0.2573531,-2.4475222,-1.7998866,-1.9872396,-1.9411521
-0.71678203,-1.0953162,0.19093777,1.6688684,2.0239587,-0.27007434,-0.8770932,-0.257192,-2.444508,-1.797777,-1.9868202,-1.9297956
-0.7115234,-1.0953007,0.19153918,1.6696025,2.0240045,-0.27001202,-0.8767589,-0.25723007,-2.4388015,-1.7957803,-1.9865197,-1.9200099
-0.7076369,-1.0952709,0.19047324,1.6690459,2.0240366,-0.2678324,-0.8769391,-0.25711715,-2.437924,-1.7950805,-1.9863045,-1.9126673
-0.7060269,-1.0951179,0.19016711,1.6703286,2.0240586,-0.2667549,-0.8759115,-0.25695732,-2.4348488,-1.7943054,-1.9861501,-1.9059832
-0.7253078,-1.0949906,0.18944463,1.6707174,2.0240777,-0.2661171,-0.87492096,-0.25691852,-2.4358497,-1.7925256,-1.9860396,-1.8974564
-0.75868636,-1.0949237,0.18914415,1.6721534,2.024088,-0.26616177,-0.87400997,-0.2566749,-2.4362879,-1.7907867,-1.9859605,-1.8869901
-0.7959855,-1.0950261,0.18791415,1.6725055,2.0240984,-0.26709813,-0.8736755,-0.2564318,-2.4331887,-1.7896463,-1.9859036,-1.8760835
-0.8268205,-1.0951198,0.18752114,1.673877,2.0241015,-0.26509297,-0.87277603,-0.2563208,-2.4268034,-1.7890325,-1.985863,-1.8676821
-0.83686197,-1.0950862,0.18746859,1.674167,2.024106,-0.26596674,-0.87227,-0.25614953,-2.4278004,-1.7887496,-1.9858339,-1.8612562
-0.8332485,-1.0951548,0.18852086,1.6707709,2.0241094,-0.26793548,-0.87303525,-0.2565909,-2.426108,-1.788288,-1.985813,-1.8560934
-0.8321755,-1.095212,0.18803439,1.6724802,2.0241137,-0.2680707,-0.8721673,-0.2563782,-2.422589,-1.7876687,-1.985798,-1.852429
-0.8303567,-1.0952168,0.18779431,1.6737502,2.0241137,-0.26592392,-0.87144446,-0.2562839,-2.421853,-1.7867686,-1.9857873,-1.8476754
-0.81521124,-1.0952201,0.1860476,1.6765567,2.0241127,-0.2669129,-0.8697573,-0.25568494,-2.414959,-1.7861104,-1.9857795,-1.8437294
-0.8092741,-1.095287,0.18666567,1.6774088,2.0241134,-0.26555032,-0.86928004,-0.25577277,-2.4117308,-1.7856977,-1.984521,-1.8420974
-0.8116088,-1.0953712,0.187743,1.6743467,2.0241208,-0.2672607,-0.8701371,-0.25630507,-2.4109468,-1.7841634,-1.9832796,-1.8391474
-0.8110095,-1.0954101,0.18928258,1.6731923,2.0241132,-0.2666413,-0.87045914,-0.25708225,-2.4089634,-1.7826465,-1.9788907,-1.8356584
-0.81416833,-1.0953828,0.18858197,1.67282,2.0241163,-0.26736593,-0.8706975,-0.2567526,-2.4045405,-1.7818182,-1.9648186,-1.8297108
-0.8344349,-1.0953606,0.18845232,1.6726161,2.0241158,-0.26765576,-0.870819,-0.25665697,-2.402002,-1.7807724,-1.9509825,-1.8248107
-0.8582076,-1.0953997,0.18974946,1.6716201,2.0241187,-0.2671523,-0.87128407,-0.25696853,-2.4016068,-1.7798802,-1.9414266,-1.8216624
-0.87366027,-1.0953877,0.18916266,1.6702307,2.0241177,-0.26649794,-0.8718005,-0.25702295,-2.3990822,-1.7794976,-1.9321096,-1.8192079
-0.88298404,-1.0951921,0.1886055,1.6700057,2.024119,-0.2665681,-0.87098193,-0.2570259,-2.3914444,-1.7785379,-1.9249396,-1.8143026
-0.89157206,-1.0951391,0.18782915,1.6702353,2.0241165,-0.26530924,-0.87069786,-0.25695512,-2.390207,-1.7775186,-1.9185991,-1.8082153
-0.8941376,-1.0951766,0.18682441,1.6729157,2.0241187,-0.2651248,-0.8693,-0.25654927,-2.3859065,-1.7772099,-1.9129553,-1.8028867
-0.90783876,-1.095127,0.18836418,1.6716665,2.024115,-0.2664339,-0.86977506,-0.25688282,-2.3819094,-1.7758332,-1.9080266,-1.798026
-0.9219956,-1.0950764,0.18762708,1.672691,2.0241175,-0.2653656,-0.8688501,-0.25663394,-2.3826365,-1.7739075,-1.9034805,-1.7928045
-0.93059367,-1.0950093,0.18766843,1.6720922,2.0241165,-0.2656056,-0.8681543,-0.25658834,-2.3811812,-1.7725536,-1.8973227,-1.7893784
-0.94101554,-1.0950446,0.1877653,1.6708854,2.0241165,-0.26703334,-0.86895514,-0.25672686,-2.3822205,-1.7709818,-1.8900472,-1.7869321
-0.9493807,-1.0951518,0.18960555,1.6696188,2.0241191,-0.2674325,-0.8697071,-0.25706482,-2.376834,-1.7695413,-1.8836186,-1.7827585
-0.95756423,-1.0952408,0.19011818,1.6707782,2.0241182,-0.26638678,-0.8689397,-0.2570881,-2.3738983,-1.7686106,-1.8787848,-1.776664
-0.96312803,-1.095326,0.18928365,1.6726639,2.0241132,-0.2650174,-0.86769027,-0.25681552,-2.3709548,-1.767882,-1.8752218,-1.7699904
-0.9673146,-1.0953348,0.18946229,1.6680831,2.0241206,-0.26579404,-0.86883086,-0.2572891,-2.3671637,-1.7669275,-1.8722042,-1.7643323
-0.9697477,-1.0953262,0.18979667,1.6714342,2.0241177,-0.2651733,-0.86729354,-0.25693047,-2.3613374,-1.7655927,-1.8676033,-1.761675
-0.9597223,-1.0951817,0.19008413,1.6711445,2.024118,-0.266237,-0.8674162,-0.25708476,-2.3584929,-1.7644432,-1.8610771,-1.7616515
-0.94923717,-1.0949934,0.18999517,1.6716679,2.0241148,-0.2648696,-0.8670369,-0.2568363,-2.3588014,-1.7638308,-1.8546064,-1.7612544
-0.9284386,-1.0947725,0.18946643,1.6726338,2.024119,-0.2663629,-0.86639345,-0.2565612,-2.3592672,-1.7637721,-1.8483243,-1.7580085
-0.8989486,-1.0946088,0.1889449,1.6725618,2.0241213,-0.26617593,-0.8663795,-0.25642353,-2.3560243,-1.7629888,-1.8432415,-1.7531918
-0.8805088,-1.0944297,0.18996225,1.671755,2.024118,-0.26641694,-0.86589354,-0.2570369,-2.3505478,-1.7611094,-1.8395598,-1.74988
-0.86525387,-1.0942959,0.18872562,1.672456,2.0241187,-0.2654014,-0.86550397,-0.25654456,-2.347867,-1.7587113,-1.8367916,-1.7457364
-0.85413444,-1.0943103,0.18888359,1.6716344,2.0241182,-0.26597247,-0.8657995,-0.25665173,-2.342477,-1.7563483,-1.834707,-1.7408185
-0.8442435,-1.0941325,0.1879016,1.6714777,2.0241191,-0.26612157,-0.86597335,-0.25656596,-2.3424091,-1.7553108,-1.8331735,-1.7364513
-0.8546202,-1.093829,0.1886586,1.6717299,2.0241196,-0.26574042,-0.8656312,-0.25664935,-2.339841,-1.7555207,-1.8319048,-1.7333288
-0.8756346,-1.0931791,0.18942876,1.6681759,2.0241184,-0.26676327,-0.86644316,-0.25728497,-2.3352332,-1.7550074,-1.8305458,-1.7307674
-0.8869619,-1.092784,0.18899187,1.6690878,2.0241153,-0.26720536,-0.8661765,-0.25704038,-2.3315015,-1.7537221,-1.8286954,-1.7288082
-0.8921492,-1.0925632,0.18838635,1.671856,2.0241196,-0.26731122,-0.8648399,-0.2564471,-2.3265808,-1.7525522,-1.8267376,-1.7269202
-0.8922958,-1.0923872,0.18812522,1.6730494,2.024118,-0.2665635,-0.86438227,-0.2564152,-2.3241274,-1.7513554,-1.8244994,-1.7256255
-0.8936338,-1.0925862,0.18922728,1.6725297,2.024119,-0.26759303,-0.8645534,-0.25681013,-2.3231196,-1.7503289,-1.8206602,-1.7249095
-0.89577377,-1.0930704,0.18868384,1.671166,2.0241196,-0.2676739,-0.86427367,-0.2568394,-2.3213167,-1.7495573,-1.8159405,-1.7240207
-0.8992126,-1.0934496,0.1888048,1.6700287,2.024118,-0.26711804,-0.8648037,-0.25675184,-2.3213246,-1.7488474,-1.8117929,-1.7214345
-0.90588045,-1.0937066,0.188325,1.6732187,2.024118,-0.2665606,-0.862996,-0.25646803,-2.3184695,-1.7484002,-1.8086983,-1.7120969
-0.91133076,-1.0939459,0.18784384,1.6756078,2.0241172,-0.26647577,-0.86171275,-0.2562438,-2.3164222,-1.7479643,-1.8059256,-1.7030541
-0.91111696,-1.093991,0.18741128,1.675683,2.0241158,-0.2659467,-0.8615179,-0.25592014,-2.31175,-1.7475185,-1.8029058,-1.6984196
-0.91057295,-1.0937452,0.18851978,1.674254,2.0241163,-0.2663594,-0.8616454,-0.25654945,-2.3083022,-1.7471714,-1.8000914,-1.6932789
-0.92408335,-1.0932451,0.1878228,1.6736615,2.0241172,-0.2660292,-0.8616145,-0.25647673,-2.3048747,-1.7469226,-1.7965348,-1.6857294
-0.94108576,-1.0927658,0.18758412,1.6735045,2.0241187,-0.26747477,-0.861884,-0.2565046,-2.303665,-1.7467443,-1.7932686,-1.6809596
-0.95067054,-1.0925297,0.18854283,1.6742319,2.0241182,-0.26832268,-0.86172336,-0.25666848,-2.3023236,-1.7466385,-1.7892002,-1.676909
